Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Austria,,1.10231,1.10231,2.20462,3.30693,69.44562,7.71618,3.30693,6.61387,7.71618,3.30693,13.22774,7.71618
Belgium,,1893.77092,2281.78451,2369.96942,1175.06391,1538.82666,1376.78689,1385.60538,1732.83346,1455.05099,1423.08397,1157.42693,807.99423
Bosnia and Herzegovina,,67.24099,62.83175,156.52821,556.66724,713.19545,806.89192,856.49593,914.91843,966.72706,613.98743,962.31782,885.15602
Bulgaria,,199.51836,0,40.78552,4.40925,57.32019,23.14854,3.30693,2.20462,36.37627,15.43236,99.20802,137.78892
Croatia,,18.0746,8.81849,1.10231,8.81849,1.10231,0,0,1.10231,0,0,0,0
Cyprus,,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,,10584.39367,10535.89197,9466.64996,8483.38822,8386.38482,8136.16014,9766.47865,9710.26077,9318.94023,9099.58027,9042.26008,8634.40488
Denmark,,135.5843,181.88137,185.18831,166.44902,175.26751,105.82189,121.25425,209.43916,171.96057,70.54793,78.26411,0
Faroe Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Finland,,0,0,0,0,0,0,0,3.30693,3.30693,3.30693,5.51156,6.61387
Former Czechoslovakia,,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,,9.9208,74.95717,81.57104,100.31033,135.5843,175.26751,--,--,--,--,--,--
Former Yugoslavia,,--,--,--,--,--,--,--,--,--,--,--,--
France,,881.84909,763.90177,529.10945,551.15568,1040.58192,1033.96806,927.04385,1112.23216,1299.62509,787.05031,279.98709,162.03977
Germany,,391.32053,209.43916,342.81883,317.46567,311.95411,364.86506,317.46567,477.30082,772.72026,500.44936,487.22162,425.49218
Germany East,,--,--,--,--,--,--,--,--,--,--,--,--
Germany West,,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,,0,0,0,0,0,0,0,0,0,0,0,0
Greece,,88.18491,54.01326,8.81849,66.13868,24.25085,14.33005,11.02311,17.63698,2.20462,2.20462,0,0
Hungary,,203.9276,146.60741,69.44562,89.28722,167.55133,471.78926,777.12951,729.73012,447.53841,218.25765,345.02346,341.71652
Iceland,,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,,9.9208,9.9208,15.43236,9.9208,13.22774,14.33005,8.81849,4.40925,6.61387,8.81849,11.02311,11.02311
Italy,,137.78892,89.28722,141.09585,181.88137,268.96397,252.4293,242.5085,236.99694,263.45241,304.23794,339.5119,307.54487
Kosovo,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.33005,0
Luxembourg,,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,,1.10231,0,0,8.81849,16.53467,1.10231,1.10231,2.20462,2.20462,19.8416,45.19477,37.47859
Malta,,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,,--,--,--,--,--,--,94.79878,65.03637,45.19477,63.93406,76.05948,76.05948
Netherlands,,10972.40727,19316.90426,10209.60781,8666.37191,10624.07688,8523.07143,11759.45758,13721.5718,8548.42459,5364.94939,6633.70976,6244.59385
Norway,,634.93134,1651.26242,2259.73829,2972.93374,3021.43544,1838.65535,2497.83754,3715.89159,3691.64074,2642.24033,1822.12068,1657.87628
Poland,,29474.29559,29221.27104,29642.05635,28022.95938,27523.61234,26456.57494,25402.76528,20102.85226,16071.69962,14635.38792,18107.6687,14826.08779
Portugal,,88.18491,0,0,0,0,0,5.51156,14.33005,44.09245,73.85486,125.66349,174.16519
Romania,,22.04623,5.51156,0,0,50.70632,38.5809,27.55778,78.26411,35.27396,27.55778,87.0826,1.10231
Serbia,,--,--,--,--,--,--,7.71618,322.97723,188.49524,146.60741,164.24439,125.66349
Slovakia,,72.75255,272.27091,179.67675,114.64038,59.52481,152.11897,152.11897,154.32359,201.72298,180.77906,357.14888,194.0068
Slovenia,,1.10231,2.20462,2.20462,12.12542,54.01326,22.04623,38.5809,5.51156,1.10231,5.51156,0,0
Spain,,820.11965,686.73998,696.66078,826.73352,1085.77669,672.40993,1154.11999,2234.38513,2703.96976,1733.93577,2048.09451,1724.01497
Sweden,,34.17165,35.27396,22.04623,66.13868,47.39939,41.88783,30.86472,31.96703,44.09245,308.64718,37.47859,28.6601
Switzerland,,0,0,0,0,0,0,9.9208,0,0,0,0,0
Turkey,,0,0,0,16.53467,0,0,0,0,0,0,0,0
United Kingdom,,1148.60844,956.80626,942.47621,749.57172,842.16588,722.01394,673.51224,882.9514,864.21211,873.0306,1320.56901,1056.01428
Armenia,,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,,4.40925,1.10231,9.9208,1.10231,0,1.10231,1.10231,0,0,0,0,0
Estonia,,35.27396,40.78552,48.5017,41.88783,48.5017,45.19477,46.29708,49.60401,30.86472,28.6601,23.14854,27.55778
Former U.S.S.R.,,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,1.10231,2.20462,0,2.20462,0,0,0,0,0,19.8416,0,0
Kazakhstan,,37990.05869,34798.86731,29831.85232,36108.4132,27489.44068,27181.89581,31816.01277,28937.87781,36538.31463,31567.99271,34603.7582,37587.71505
Kyrgyzstan,,3.30693,30.86472,115.74269,35.27396,48.5017,9.9208,33.06934,33.06934,77.1618,74.95717,0,0
Latvia,,0,0,0,0,3.30693,0,0,0,3.30693,5.51156,2.20462,0
Lithuania,,0,0,0,0,0,2.20462,3.30693,8.81849,9.47988,18.62906,38.5809,44.09245
Moldova,,0,0,0,0,0,0,0,0,0,0,0,0
Russia,,43981.12093,49462.91532,52377.42656,65343.91508,80250.4716,98589.62568,103350.5085,112230.7288,111495.4871,119383.6272,148912.3439,138555.0263
Tajikistan,,0,0,0,0,0,1.10231,0,0,2.20462,0,0,0
Turkmenistan,,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,,3742.34707,5632.81105,4623.09384,6053.89399,7802.1598,4041.07344,4279.1727,4631.91233,6395.61051,6934.64076,8499.92289,10277.95112
Uzbekistan,,29.76241,31.96703,31.96703,22.04623,30.86472,34.17165,35.27396,37.47859,35.27396,40.78552,37.47859,37.47859
Bahrain,,0,0,0,0,0,0,0,0,0,0,0,0
Iran,,68.3433,253.53161,25.35316,22.04623,127.86812,39.68321,45.19477,40.78552,44.09245,25.35316,126.76581,83.77566
Iraq,,0,0,0,0,0,0,0,0,0,0,0,0
Israel,,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,,0,0,0,0,0,0,0,0,0,0,0,0
Oman,,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territories,,0,2.20462,0,0,0,0,0,0,0,0,0,0
Qatar,,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,,0,0,0,0,0,0,0,0,0,0,0,0
Syria,,5.51156,5.51156,1.10231,5.51156,5.51156,5.51156,5.51156,5.51156,5.51156,5.51156,5.51156,5.51156
United Arab Emirates,,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,,0,0,0,0,0,0,0,0,0,0,0,0
Angola,,0,0,0,0,0,0,0,0,0,0,0,0
Benin,,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0
Chad,,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),,0,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,,613.98743,570.99728,605.16894,626.11285,633.82903,612.88512,573.20191,561.07648,550.05337,537.92794,526.90483,553.3603
Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,,0,0,0,0,0,0,0,0,0,0,0,0
Gambia The,,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,,0,0,0,0,0,0,0,0,0,0,0,0
Libya,,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,,21.09824,6.16192,18.39758,16.57876,16.53467,11.02311,11.02311,11.02311,10.15229,8.81849,0,0
Mali,,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,,17.63698,30.86472,48.5017,40.78552,18.73929,3.30693,45.19477,16.53467,30.86472,30.86472,30.86472,5.51156
Namibia,,0,0,0,0,0,0,0,0,0,0,0,0
Niger,,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,,77061.48483,76290.96919,76329.55009,77143.05587,73387.48107,78751.32815,75780.59903,73814.07557,63813.90691,57294.83753,73189.06503,79040.13372
Sudan and South Sudan,,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,,383.8796,496.04011,561.96439,452.50984,488.70974,497.0743,488.91323,508.95865,524.20417,530.68576,530.68576,530.68576
Tanzania,,0,0,0,0,0,0,0,0,0,0,0,0
Togo,,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,6.61387,7.71618,8.81849,9.9208,12.12542,11.02311,6.61387,0,0,0,0,0
Zimbabwe,,249.12237,249.12237,249.12237,249.12237,249.12237,219.35996,228.17845,219.35996,219.35996,220.46227,221.56458,221.56458
Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0
Australia,,206114.5873,211860.9364,225389.6037,230395.1996,241060.062,256099.9982,256244.401,269392.7708,277990.7995,288521.1799,322555.0431,313618.6049
Bangladesh,,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,,37.47859,33.06934,27.55778,27.12347,22.44526,53.32652,72.251,83.0768,89.26076,29.84618,29.84618,29.84618
Brunei,,0,0,0,0,0,0,0,0,0,0,0,0
Burma (Myanmar),,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,,0,0,0,0,0,0,0,0,0,0,0,0
China,,77450.60074,114612.8236,107437.879,119876.3604,112081.9167,93086.88738,85629.75103,75414.63166,63388.41473,25239.6232,24751.29927,18164.98889
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,,0,0,0,0,0,0,0,0,0,0,0,0
Guam,,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,37.17876,0.75398,3.08537,14.31792,0.1422,0.03638,7.71618,0,0,0,0,0
India,,1430.80014,2104.31239,1675.51327,2010.61592,1597.24916,2365.56018,1796.76752,1900.38478,3299.2179,2901.2835,5029.84673,5036.4606
Indonesia,,63332.19685,71959.98786,81777.17283,99006.29938,115324.9168,141766.0593,201929.111,214825.0516,220403.8494,257313.643,294538.6976,341140.0126
Japan,,2861.60029,2653.26344,3562.67031,2866.00953,2245.40824,1848.57615,2169.34876,1527.80354,1043.88886,1032.86574,723.11625,1079.16282
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0
Korea North,,396.83209,330.69341,613.98743,832.24508,1731.73115,3090.88105,2733.73217,4122.64448,2894.66963,3309.1387,5072.83688,3904.38684
Korea South,,0,0,0,0,0,0,0,0,0,0,0,0
Laos,,192.46356,223.43851,252.75999,188.82594,225.97383,248.02006,245.81543,639.34059,334.30756,417.20159,417.20159,417.20159
Macau,,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,,29.76241,54.01326,58.4225,56.21788,21.64829,68.37748,104.30731,102.92502,85.38614,10.62738,108.02651,342.81883
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,,1.10231,0,0,0,0,2341.30933,2457.05202,3432.59757,4423.57549,7736.02112,19195.65001,24408.48043
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,,1685.43407,1975.34196,2129.66555,2436.1081,2103.21007,2569.48778,2998.2869,2220.05508,2823.01939,2322.57003,2667.59349,2379.89023
Niue,,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,,0,0,0,0,0,0,0,880.74678,984.36404,2198.00885,4518.37426,6411.04287
Samoa,,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,,0.28329,0.32558,0.04409,0,0.01874,0,0,0,0,0,0,0
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,,11.76938,6.66017,12.67879,10.64171,1.85299,47.1679,21.92608,11.88512,97.35393,41.19889,129.28018,109.80123
Thailand,,0,0,0,0,0,0,0,0,82.67335,29.76241,23.14854,0
Timor-Leste (East Timor),,--,--,--,0,0,0,0,0,0,0,0,0
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,3583.61423,4728.91573,6667.88141,6944.56157,11724.18362,19810.73975,32306.54133,35353.32992,21335.23636,27548.9655,21714.43147,26923.95496
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0
