Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Laos,,3.277,3.297,3.212,2.832,2.998,3.135,3.241,3.336,3.642,3.347,3.229,NA
Macau,,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,,7.34,6.371,5.248,5.693,5.769,5.134,6.378,6.42301,7.38401,8.35601,7.69101,8.61801
Maldives,,0,0,0,0,0,0.00001,0.00003,0.00003,0.00003,0.00003,0.0001,0.0002
Mongolia,,0,0,0,0.00011,0.00041,0.00041,0.00041,0.00041,0.0024,0.0024,0.0024,0.0044
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,,1.616,1.831,2.098,2.24,2.378,2.492,2.708,2.755,2.775,3.071,3.172,NA
New Caledonia,,0.445,0.37,0.325,0.325,0.33303,0.356,0.315,0.426,0.483,0.432,0.478,NA
New Zealand,,27.818,24.933,28.025,26.675,30.274,27.368,27.879,28.452,27.939,30.917,32.597,33.5
Niue,,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,17.022,18.752,22.127,26.675,25.414,30.553,31.633,28.42,27.506,27.822,31.503,30.338
Papua New Guinea,,0.921,0.921,0.921,0.97,0.936,1.182,1.154,1.254,1.246,1.245,1.25,NA
Philippines,,19.347,17.475,17.205,17.612,18.789,18.224,20.35902,18.752,20.52911,20.07869,17.717,19.38005
Samoa,,0.035,0.048,0.062,0.054,0.05,0.05,0.051,0.0522,0.0532,0.0542,0.0552,NA
Singapore,,0.49,0.946,0.946,0.99,0.958,0.918,0.954,0.974,1.048,1.064,1.174,1.174
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,,3.176,3.09,2.68,3.277,2.946,3.434,3.868,3.927,4.109,3.886,5.599,NA
Taiwan,,6.2231,7.2613,5.5753,5.9295,6.2036,7.038,7.425,8.219,8.055,7.706,8.523,NA
Thailand,,6.4773,6.7343,8.0843,8.3793,7.2623,7.2708,9.5069,9.818,9.617,10.076,8.677,11.29
Timor-Leste (East Timor),,--,--,--,0,0,0,0,0,0,0,0,0
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,,0.025,0.025,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,NA
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,14.405,18.028,18.016,18.796,17.489,20.904,20.269,22.371,25.782,29.753,27.38,29.627
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0
